url,caption,time,n_frames_requested,n_frames_used
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=464&GameID=0022400366&Season=2024-25&flag=1&title=Jackson%20Jr.%2011%27%20Driving%20Floating%20Jump%20Shot%20(13%20PTS)%20(Pippen%20Jr.%205%20AST),"""A player with jersey number 5 and jersey color yellow performed a 2PT Shot that was made and was assisted by player with jersey number 22.""",84.08634924888611,18,18
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=187&GameID=0022400871&Season=2024-25&flag=1&title=Sochan%205%27%20Cutting%20Layup%20Shot%20(7%20PTS)%20(Champagnie%201%20AST),"""A player with jersey number 30 and jersey color black performed a 2PT Shot that was made and was assisted by player with jersey number 10.""",85.6804621219635,18,18
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=550&GameID=0022400375&Season=2024-25&flag=1&title=Herro%203%27%20Reverse%20Layup%20(22%20PTS)%20(Smith%203%20AST),"""A player with jersey number 14 and jersey color black performed a 2PT Shot that was made and was assisted by player with jersey number 13.""",82.443763256073,18,18
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=52&GameID=0022400874&Season=2024-25&flag=1&title=Harden%203%27%20Driving%20Finger%20Roll%20Layup%20(2%20PTS)%20(Powell%201%20AST),"""A player with jersey number 11 and jersey color white performed a 2PT Shot that was made and was assisted by player with jersey number 7.""",83.05861306190491,18,18
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=92&GameID=0022400867&Season=2024-25&flag=1&title=Sharpe%2010%27%20Driving%20Floating%20Jump%20Shot%20(7%20PTS),"""A player with jersey number 1 and jersey color white performed a 2PT Shot that was made and was assisted by player with jersey number 10.""",80.6462619304657,18,18
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=155&GameID=0022401216&Season=2024-25&flag=1&title=Green%201%27%20Cutting%20Dunk%20Shot%20(4%20PTS)%20(Theis%201%20AST),"""A player with jersey number 4 and jersey color purple performed a 2PT Shot that was made and was assisted by player with jersey number 11.""",79.73132681846619,18,18
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=170&GameID=0022400374&Season=2024-25&flag=1&title=Antetokounmpo%201%27%20Driving%20Layup%20(7%20PTS),"""A player with jersey number 4 and jersey color white performed a 2PT Shot that was made and was assisted by player with jersey number 20.""",80.03375792503357,18,18
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=93&GameID=0022400864&Season=2024-25&flag=1&title=Curry%201%27%20Cutting%20Layup%20Shot%20(6%20PTS)%20(Green%202%20AST),"""A player with jersey number 23 and jersey color blue performed a 3PT Shot that was made and was assisted by player with jersey number 1.""",82.05867290496826,18,18
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=38&GameID=0022401224&Season=2024-25&flag=1&title=Mitchell%2015%27%20Turnaround%20Jump%20Shot%20(2%20PTS),"""A player with jersey number 45 and jersey color white performed a 3PT Shot that was made and was assisted by player with jersey number 10.""",81.15358781814575,18,18
https://www.nba.com/stats/events/?CFID=&CFPARAMS=&GameEventID=56&GameID=0022400865&Season=2024-25&flag=1&title=Irving%202%27%20Driving%20Finger%20Roll%20Layup%20(2%20PTS),"""A player with jersey number 25 and jersey color white performed a 2PT Shot that was made and was assisted by player with jersey number 34.""",83.44677114486694,18,18
